Language,Group
Spanish or Spanish Creole,SPANISH AND SPANISH CREOLE
Chinese,ASIAN AND PACIFIC ISLAND LANGUAGES
French,OTHER INDO-EUROPEAN LANGUAGES
Tagalog,ASIAN AND PACIFIC ISLAND LANGUAGES
Vietnamese,ASIAN AND PACIFIC ISLAND LANGUAGES
Korean,ASIAN AND PACIFIC ISLAND LANGUAGES
German,OTHER INDO-EUROPEAN LANGUAGES
Russian,OTHER INDO-EUROPEAN LANGUAGES
Italian,OTHER INDO-EUROPEAN LANGUAGES
Portuguese,OTHER INDO-EUROPEAN LANGUAGES
Polish,OTHER INDO-EUROPEAN LANGUAGES
Japanese,ASIAN AND PACIFIC ISLAND LANGUAGES
Persian,OTHER INDO-EUROPEAN LANGUAGES
Greek,OTHER INDO-EUROPEAN LANGUAGES
Serbo-Croatian,OTHER INDO-EUROPEAN LANGUAGES
Armenian,OTHER INDO-EUROPEAN LANGUAGES
Yiddish,OTHER INDO-EUROPEAN LANGUAGES
Other Languages,ALL OTHER LANGUAGES